1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3E,3J,3I,3F,3H,3G,3L,3K,EFGHIJKL
3H,3G,3I,3D,3J,3F,3L,3K,DFGHIJKL
3E,3J,3I,3D,3H,3G,3L,3K,DEGHIJKL
3E,3J,3I,3D,3H,3F,3L,3K,DEFHIJKL
3E,3G,3I,3D,3J,3F,3L,3K,DEFGIJKL
3E,3G,3J,3D,3H,3F,3L,3K,DEFGHJKL
3E,3G,3I,3D,3H,3F,3L,3K,DEFGHIKL
3E,3G,3J,3D,3H,3F,3L,3I,DEFGHIJL
3E,3G,3J,3D,3H,3F,3I,3K,DEFGHIJK
3H,3G,3I,3C,3J,3F,3L,3K,CFGHIJKL
3E,3J,3I,3C,3H,3G,3L,3K,CEGHIJKL
3E,3J,3I,3C,3H,3F,3L,3K,CEFHIJKL
3E,3G,3I,3C,3J,3F,3L,3K,CEFGIJKL
3E,3G,3J,3C,3H,3F,3L,3K,CEFGHJKL
3E,3G,3I,3C,3H,3F,3L,3K,CEFGHIKL
3E,3G,3J,3C,3H,3F,3L,3I,CEFGHIJL
3E,3G,3J,3C,3H,3F,3I,3K,CEFGHIJK
3H,3G,3I,3C,3J,3D,3L,3K,CDGHIJKL
3C,3J,3I,3D,3H,3F,3L,3K,CDFHIJKL
3C,3G,3I,3D,3J,3F,3L,3K,CDFGIJKL
3C,3G,3J,3D,3H,3F,3L,3K,CDFGHJKL
3C,3G,3I,3D,3H,3F,3L,3K,CDFGHIKL
3C,3G,3J,3D,3H,3F,3L,3I,CDFGHIJL
3C,3G,3J,3D,3H,3F,3I,3K,CDFGHIJK
3E,3J,3I,3C,3H,3D,3L,3K,CDEHIJKL
3E,3G,3I,3C,3J,3D,3L,3K,CDEGIJKL
3E,3G,3J,3C,3H,3D,3L,3K,CDEGHJKL
3E,3G,3I,3C,3H,3D,3L,3K,CDEGHIKL
3E,3G,3J,3C,3H,3D,3L,3I,CDEGHIJL
3E,3G,3J,3C,3H,3D,3I,3K,CDEGHIJK
